binomial,mass.g,bmr.ml.O2.h
Octomys mimax,118.6,115
Spalacopus cyanus,135,106.8
Tympanoctomys barrerae,71.4,77.1
Pedetes capensis,2300,793.5
Ammospermophilus leucurus,95.7,93.9
Cynomys ludovicanus,1112.3,422.7
Epixerus wilsoni,460,241.5
Funisciurus congicus,112.3,95.5
Funisciurus isabella,60,102.1
Funisciurus lemnisciatus,95,89.6
Funisciurus pyrrhopus,244,181.3
Glaucomys volans,64.25,67.5
Heliosciurus rufobrachium,230,133.4
Marmota flaviventris,4295,1546.2
Marmota monax,2650,662.5
Paraxerus cepapi,223.6,145.3
Paraxerus palliatus ornatus,366.6,260.3
Paraxerus palliatus tongensis,206,175.1
Sciurus aberti,624,430.6
Sciurus carolinensis,440,369.6
Spermophilus armatus,320,147.2
Spermophilus beecheyi,599.6,317.8
Spermophilus beldingi,303,127.3
Spermophilus citellus,240,228
Spermophilus lateralis,237,143.4
Spermophilus mohavensis,240,112.8
Spermophilus parryi,650,520
Spermophilus richardsoni,274,131.5
Spermophilus satutatus,252.2,161.4
Spermophilus spilosoma,174,92.2
Spermophilus tereticaudus,167,93.5
Spermophilus townsendii,229,105.3
Spermophilus tridecemlineatus,205.4,140.4
Spermophilus undulatus,680,667.1
Tamias alpinus,39,57.7
Tamias amoenus,57.1,96.3
Tamias merriami,75,78.8
Tamias minimus,45.8,72.7
Tamias palmeri,69.4,113.1
Tamias striatus,87.4,90
Tamiasciurus hudsonicus,228.3,254.6
Tamiasciurus hudsonicus preblei,202,323.2
Xerus inauris,542,326.3
Xerus princeps,602,340.1
Pltilocerus lowii,58,43.5
Tupaia glis,123,93.5
Urogale everetti,260.6,224.1
Orycteropus afer,48000,6144
Bradypus variegatus,3790,686
Cabassous centralis,4330,917
Chaetophractus nationi,2150,559
Chaetophractus vellerosus,1110,306
Chaetophractus villosus,4540,808
Dasypus novemcinctus,3510,865
Euphractus sexcinctus,8190,1237
Priodontes maximus,45190,3028
Tolypeutes matacus,1160,210
Zaedyus pichi,1740,393
Choloepus hoffmanni,3770,603
Cyclopes didactylus,240,114
Myrmecophaga tridactyla,30600,2607
Tamandua mexicana,3977,992
Tamandua tetradactyla,3500,899
Antechinomys laniger,25.8,25.3
Antechinomys laniger ?spenceri?,24.2,23.7
Antechinus flavipes,46.5,45.1
Antechinus stuartii,28.2,33.8
Antechinus swainsoni,66.9,63
Dasycercus cristicaudata,101,51
Dasyuroides byrnei,91.7,71.7
Dasyurus geoffroyi,1354,568.7
Dasyurus hallucatus,558,243
Dasyurus maculatus,1782,588.1
Dasyurus viverrinus,982,396.2
Ningaui yvonnae,11.6,15.7
Phascogale tapoatafa,157,127.2
Planigale gilesi,9.1,7
Planigale ingrami,7.1,11.3
Planigale maculata,10.8,12
Planigale tenuirostris,7.1,11.3
Pseudantechinus macdonnellensis,43.1,27.2
Sarcophilus harrisii,5775,1325.4
Sminthopsis crassicaudata,16.4,25.1
Sminthopsis macroura,19.35,22.5
Sminthopsis murina,19,21.5
Myrmecobius fasciatus,400,142.4
Caluromys derbianus,329,225
Chironectes minimus,935,457
Didelphis marsupialis,1165,571
Didelphis virginiana,2488,832
Lutreolina crassicaudata,812,406
Philander opossum,751,338
Gracilinanus microtarsus,13,19
Marmosa robinsoni,122,98
Metachirus nudicaudatus,336,205
Monodelphis brevicaudata,75.5,57
Monodelphis domestica,104,60
Acrobates pygmaeus,14,15.1
Burramys parvus,44.3,36.8
Cercartetus conncinnus,18.6,22.3
Cercartetus lepidus,12.6,18.8
Cercartetus nanus,70,60.2
Dendrolagus matschiei,6960,1426.8
Lagorchestes conspicillatus,2660,851.2
Macropus eugenii,4878,1390.2
Macropus robustus,29300,5684.2
Macropus rufus,32490,5848.2
Setonyx brachyurus,2674,834.3
Petaurus breviceps,127,89.9
Gymnobelideus leadbeateri,166,102.9
Spilocuscus maculatus,4250,1143.3
Trichosurus vulpecula,2005,731.6
Phascolarctos cinereus,4765,1034
Bettongia gaimardi,1385,641.3
Bettongia penicillata,1018,561.4
Potorous tridactylus,976,416.4
Aepyprimnus rufescens,2820,1071.6
Petauroides volans,1141,573.9
Pseudocheirus occidentalis,861,409
Pseudocheirus peregrinus,916,430.5
Tarsipes rostratus,10,29
Lasiorhinus latifrons,29917,2991.7
Notoryctes caurinus,34,21.4
Echymipera kalabu,695,341
Echymipera rufescens australis,616,302
Echymipera rufescens rufescens,1276,541
Isoodon auratus,428,150
Isoodon macrourus,1551,574
Isoodon obesulus,717,222
Macrotis lagotis,1294,450
Perameles gunni,837,420
Perameles nasuta,645,316
Ornithorhynchus anatinus,693,194
Zaglossus bruijni,10300,1215
Tachyglossus aculeatus,2725,431
Tachyglossus setosus,3580,548
