Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.mean,sd.bmr,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.mean,sd.fmr,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.geo.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.geo.mean,fmr.lower.95hpd,fmr.upper.95hpd
Pseudomys_shortridgei,Rodentia,Muridae,1.845098040014257,1.5000678666666667,0.050890016952155614,1.4044,1.6007,2.010822233333333,0.05172435543655746,1.9081,2.1096,31.62771864037785,25.374646458649657,39.87493609041731,102.52321893642788,80.92822218443736,128.70635762533323
Pseudorca_crassidens,Cetartiodactyla,Delphinidae,6.133538908370218,5.0396974666666665,0.08031499947059834,4.8801,5.2011,5.353315066666666,0.08244615335111975,5.1901,5.5153,109571.46458235216,75875.2264081846,158891.25671188618,225587.5183487326,154917.3288179822,327566.8919368471
Pseudoryx_nghetinhensis,Cetartiodactyla,Bovidae,4.929418925714293,3.9270871333333335,0.07909813136800932,3.7767,4.0866,4.296057433333333,0.07938574513258435,4.1457,4.4565,8454.484520869393,5979.983697142513,12206.748591607422,19772.31102021257,13986.208557452746,28608.823606272075
Pseudoryzomys_simplex,Rodentia,Cricetidae,1.7101173651118162,1.5179584333333334,0.07671298501276524,1.3707,1.6709,2.0349166,0.07784275078038001,1.8861,2.1908,32.95781664821476,23.480103124551828,46.8705446301803,108.37187814545,76.93075595060682,155.16722739072335
Ptenochirus_jagori,Chiroptera,Pteropodidae,1.888179493918325,1.5826679666666668,0.08081416918160078,1.4281,1.743,2.0914414,0.08149268391631215,1.9402,2.2533,38.253217225493046,26.797852971525053,55.335010921573684,123.4358750072545,87.1364775881218,179.18431880501996
Ptenochirus_minor,Chiroptera,Pteropodidae,1.5599066250361124,1.3402991333333334,0.07967125045229155,1.1893,1.5008,1.8641639,0.0805311892225772,1.7088,2.0202,21.892690293763152,15.463222322497002,31.681081593280503,73.14150628381246,51.14462515963049,104.76108796203616
Pteralopex_anceps,Chiroptera,Pteropodidae,2.748498126613737,2.1948259333333335,0.07734795547524806,2.0393,2.3412,2.6640509666666667,0.0778324022071999,2.5163,2.8193,156.6123236917616,109.47123056206446,219.38149918979101,461.3717157012404,328.3220116091994,659.6293937452818
Pteralopex_atrata,Chiroptera,Pteropodidae,2.673941998634088,2.140319933333333,0.07584970372506815,1.9934,2.2858,2.6129715333333334,0.07650111674524744,2.4621,2.7591,138.140153207086,98.4917830980817,193.1078817558084,410.1772162513166,289.8010802529753,574.248672628783
Pteralopex_flanneryi,Chiroptera,Pteropodidae,2.8262044234992527,2.2522149666666667,0.07656581178204476,2.1024,2.4045,2.7178686666666665,0.07684308208709337,2.5618,2.866,178.73720676453158,126.5901749300244,253.80489859637805,522.2382370495105,364.58601019727604,734.5138681571151
Pteralopex_pulchra,Chiroptera,Pteropodidae,2.4471580313422194,1.9739677666666666,0.07741708665478353,1.8332,2.1357,2.4570451666666666,0.07787694555850315,2.3061,2.6071,94.18196920779258,68.10829367676384,136.67843582393508,286.4475860172909,202.34850496919614,404.6690594650874
Pteralopex_taki,Chiroptera,Pteropodidae,2.4574276929464847,1.9818213666666666,0.07810986521441125,1.8303,2.1392,2.4644264666666666,0.07843724714761213,2.3094,2.6208,95.90060934807708,67.65501583068963,137.7843843351454,291.35767756335787,203.89191270749765,417.63799295097385
Pteromys_momonga,Rodentia,Sciuridae,2.1812717715594614,1.8133950333333333,0.11143449119224554,1.5997,2.0375,2.3086941,0.11156513790243078,2.0842,2.5225,65.07213159510235,39.78322628232957,109.01844923851279,203.56077703533023,121.39477653658287,333.0427623087463
Pteromys_volans,Rodentia,Sciuridae,2.1577588860468637,1.7956427,0.11198011234990479,1.5868,2.0267,2.2920241,0.11222146883972862,2.0871,2.532,62.465856618388464,38.618908944898976,106.34081880996963,195.8953377319801,122.20810223250564,340.4081897010009
Pteromyscus_pulverulentus,Rodentia,Sciuridae,2.5241363765925686,2.0622238,0.1117406458017914,1.8469,2.2903,2.5417630333333334,0.1118892343513,2.3262,2.768,115.40478068521811,70.29104501361859,195.11919700023805,348.14730153048174,211.93369012640056,586.1381645140285
Pteronotus_davyi,Chiroptera,Mormoopidae,0.9637878273455552,0.8384938333333334,0.07290031118197667,0.6811,0.9684,1.3897608,0.0743311634779204,1.2366,1.5246,6.894358036130293,4.798439240638988,9.29822390585381,24.533572874062685,17.242490683416417,33.46570666196798
