Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10MR,MR,source
Odocoileus_hemionus,Cetartiodactyla,Cervidae,4.6344772701607315,4.569373909615046,FMR,Hudson.2013
Odocoileus_hemionus,Cetartiodactyla,Cervidae,4.68930885912362,4.37383114507383,FMR,Hudson.2013
Thylogale_billardierii,Diprotodontia,Macropodidae,3.9843022319799033,3.406540180433955,FMR,Hudson.2013
Thylogale_billardierii,Diprotodontia,Macropodidae,3.666049738480516,3.0499928569201424,FMR,Hudson.2013
Thylogale_billardierii,Diprotodontia,Macropodidae,3.5352941200427703,3.03342375548695,FMR,Hudson.2013
Thylogale_billardierii,Diprotodontia,Macropodidae,3.803457115648414,3.2467447097238415,FMR,Hudson.2013
Isoodon_obesulus,Peramelemorphia,Peramelidae,2.88930170250631,2.816241299991783,FMR,Hudson.2013
Isoodon_obesulus,Peramelemorphia,Peramelidae,3.05595140532915,2.7126497016272113,FMR,Hudson.2013
Isoodon_obesulus,Peramelemorphia,Peramelidae,3.164352855784437,2.7741518589547103,FMR,Hudson.2013
Isoodon_obesulus,Peramelemorphia,Peramelidae,3.0453229787866576,2.7556208080264866,FMR,Hudson.2013
Isoodon_obesulus,Peramelemorphia,Peramelidae,3.2612628687924934,3.03342375548695,FMR,Hudson.2013
Isoodon_obesulus,Peramelemorphia,Peramelidae,2.921686475483602,2.5809249756756194,FMR,Hudson.2013
Isoodon_obesulus,Peramelemorphia,Peramelidae,3.13433651094868,2.9656719712201065,FMR,Hudson.2013
Isoodon_obesulus,Peramelemorphia,Peramelidae,3.113943352306837,2.6794278966121188,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1.249198357391113,1.4941545940184429,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1.173186268412274,1.6170003411208989,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1.1038037209559568,1.7126497016272113,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9777236052888477,1.586587304671755,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1.021189299069938,1.4828735836087537,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.7222224639697303,1.4107772333772097,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.8095597146352678,1.5490032620257879,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,1.0021660617565078,1.5346605758284444,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9057958803678685,1.6683859166900001,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.9956351945975499,1.714329759745233,FMR,Hudson.2013
Tarsipes_rostratus,Diprotodontia,Tarsipedidae,0.8662873390841949,1.6148972160331345,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.885926339801431,1.6953065224318027,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.8686444383948257,1.7662640906519955,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.9138138523837167,1.660201201380682,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.9708116108725179,1.8416097121684354,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.9614210940664483,1.7953933349312894,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.8739015978644613,1.6370892735303304,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.8948696567452525,1.736555847162636,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.9334872878487055,1.7903555464143865,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.9268567089496923,1.761401557498631,FMR,Hudson.2013
Sorex_araneus,Eulipotyphla,Soricidae,0.9566485792052033,1.708505880955237,FMR,Hudson.2013
Lemmus_sibiricus,Rodentia,Cricetidae,1.792391689498254,2.2810924818448854,FMR,Hudson.2013
Lemmus_sibiricus,Rodentia,Cricetidae,1.7160033436347992,2.344631953810221,FMR,Hudson.2013
Lemmus_sibiricus,Rodentia,Cricetidae,1.7075701760979363,2.2791876784321476,FMR,Hudson.2013
Pongo_pygmaeus,Primates,Hominidae,5.066698550422995,3.9334594475665137,FMR,Hudson.2013
Pongo_pygmaeus,Primates,Hominidae,4.725911632295048,3.817075934184269,FMR,Hudson.2013
Pongo_pygmaeus,Primates,Hominidae,4.4065401804339555,3.719820007592092,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.0492180226701815,2.0755469613925306,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.12057393120585,2.2095150145426308,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.0211892990699383,2.103803720955957,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.0791812460476247,2.271841606536499,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,1.9637878273455553,2.0681858617461617,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,1.968482948553935,2.247973266361807,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.1702617153949575,2.24551266781415,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.1583624920952498,2.0791812460476247,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.113943352306837,2.247973266361807,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.0569048513364727,2.3891660843645326,FMR,Hudson.2013
Petaurus_breviceps,Diprotodontia,Petauridae,2.089905111439398,2.0293837776852097,FMR,Hudson.2013
