Binomial.1.2,Order.1.2,Family.1.2,log10BMR,log10BM,BMR.source
Heteromys_desmarestianus,Rodentia,Heteromyidae,1.6791793301256763,1.8796692056320534,WhiteSeymore.2003
Heteromys_irroratus,Rodentia,Heteromyidae,1.4146944408271398,1.6821450763738317,WhiteSeymore.2003
Heteromys_salvini,Rodentia,Heteromyidae,1.3542785183554842,1.6414741105040995,WhiteSeymore.2003
Microdipodops_megacephalus,Rodentia,Heteromyidae,1.1631126185975516,1.0413926851582251,WhiteSeymore.2003
Microdipodops_pallidus,Rodentia,Heteromyidae,0.9797708659019322,1.1818435879447726,WhiteSeymore.2003
Perognathus_flavus,Rodentia,Heteromyidae,0.9211517787691965,0.919078092376074,WhiteSeymore.2003
Perognathus_longimembris,Rodentia,Heteromyidae,0.6608292809292488,0.9493900066449128,WhiteSeymore.2003
Hydrochoerus_hydrochaeris,Rodentia,Caviidae,3.5024060747932593,4.421357098513142,WhiteSeymore.2003
Hystrix_africaeaustralis,Rodentia,Hystricidae,3.056330405234875,4.05307844348342,WhiteSeymore.2003
Abrothrix_lanosus,Rodentia,Cricetidae,1.342070518304836,1.380211241711606,WhiteSeymore.2003
Abrothrix_longipilis,Rodentia,Cricetidae,1.4427735203300316,1.6263403673750423,WhiteSeymore.2003
Acomys_cahirinus,Rodentia,Muridae,1.3477476511965265,1.6232492903979006,WhiteSeymore.2003
Acomys_russatus,Rodentia,Muridae,1.3155629678251253,1.7446840632768863,WhiteSeymore.2003
Acomys_spinosissimus,Rodentia,Muridae,1.3275442651082396,1.4316853446860118,WhiteSeymore.2003
Acomys_subspinosus,Rodentia,Muridae,1.6042717262781399,1.5085297189712865,WhiteSeymore.2003
Aethomys_namaquensis,Rodentia,Muridae,1.4374540113514198,1.8075350280688534,WhiteSeymore.2003
Akodon_albiventer,Rodentia,Cricetidae,1.350558628530355,1.4913616938342726,WhiteSeymore.2003
Akodon_azarae,Rodentia,Cricetidae,1.293765838730281,1.380211241711606,WhiteSeymore.2003
Alticola_argentatus,Rodentia,Cricetidae,1.7658910459568513,1.5763413502057928,WhiteSeymore.2003
Apodemus_flavicollis,Rodentia,Muridae,1.3195935719937664,1.3783979009481377,WhiteSeymore.2003
Apodemus_witherbyi,Rodentia,Muridae,1.3820756799764198,1.3117538610557542,WhiteSeymore.2003
Apodemus_mystacinus,Rodentia,Muridae,1.4312937026466015,1.606381365110605,WhiteSeymore.2003
Apodemus_sylvaticus,Rodentia,Muridae,1.3195935719937664,1.3783979009481377,WhiteSeymore.2003
Arborimus_longicaudus,Rodentia,Cricetidae,1.4532209704275028,1.3384564936046048,WhiteSeymore.2003
Arvicola_amphibius,Rodentia,Cricetidae,1.7112700950648712,1.9637878273455553,WhiteSeymore.2003
Loxodontomys_micropus,Rodentia,Cricetidae,1.6734445304280026,1.7944880466591695,WhiteSeymore.2003
Baiomys_taylori,Rodentia,Cricetidae,0.9161017860325549,0.8543060418010806,WhiteSeymore.2003
Calomys_lepidus,Rodentia,Calomyscidae,1.1424981633996318,1.2041199826559248,WhiteSeymore.2003
Calomys_musculinus,Rodentia,Calomyscidae,1.1240147577056188,1.2278867046136734,WhiteSeymore.2003
Calomys_venustus,Rodentia,Calomyscidae,1.5564262774557998,1.6998377258672457,WhiteSeymore.2003
Cannomys_badius,Rodentia,Spalacidae,1.9186341225479497,2.53655844257153,WhiteSeymore.2003
Chelemys_macronyx,Rodentia,Cricetidae,1.6089332502651434,1.792391689498254,WhiteSeymore.2003
Chionomys_nivalis,Rodentia,Cricetidae,1.5915906945190508,1.515873843711679,WhiteSeymore.2003
Abrothrix_andinus,Rodentia,Cricetidae,1.4940099563091014,1.5390760987927767,WhiteSeymore.2003
